,Negotiated wages including,Negotiated wages excluding,HICP overall index,Price trends over next 12 months,Economic sentiment ,Unemployment expectation over the next 12 months,Unemployment rate,Industrial production
,STS.M.DE.N.INWR.000000.2.ANR,STS.M.DE.N.INWX.000000.2.ANR,ICP.M.DE.Y.000000.3.ERX,ECS.M.DE.S.4D1.CNS006.TT,ECS.M.DE.S.4D1.ESI000.TT,ECS.M.DE.S.4D1.CNS007.TT,LFSI.M.DE.S.UNEHRT.TOTAL0.15_74.T,STS.M.DE.Y.PROD.NS0020.3.000
2025Sep,,,,33.4,90.3,35.4,,
2025Aug,,,132.2,31.9,90.7,34.3,,
2025Jul,-2.13,5.41,131.9,29.8,91.7,33.6,3.703867,93.4
2025Jun,5.67,6.56,131.6,25.9,90.6,33.1,3.705199,92
2025May,5.76,6.59,131.5,31.3,91.5,33.1,3.697617,92.3
2025Apr,5.83,7.11,131.4,35.4,89.9,32.7,3.675165,91.9
2025Mar,-2.36,5.94,131.2,31.9,89.4,31.9,3.637487,93.7
2025Feb,2.13,7.54,131,30.9,89.2,32.1,3.585442,91.3
2025Jan,3.24,6.75,130.6,33.8,88.1,32.7,3.527796,91.7
2024Dec,6.26,6.92,130.3,32.1,86.9,33.2,3.480048,90.7
2024Nov,6.61,6.95,129.9,31.1,89.3,32.8,3.447845,92.3
2024Oct,4.53,6.19,129.9,26.9,90.6,31.3,3.435612,91.2
2024Sep,4.81,6.02,129.4,25.1,89.8,30.5,3.437005,91.5
2024Aug,10.93,5.96,129.3,25.9,90.8,29.7,3.443892,93
2024Jul,10.57,5.26,129.3,21.1,92.3,29.3,3.445411,91.4
2024Jun,0.21,4.14,129,24.6,92.2,29.1,3.431719,93.6
2024May,4.46,4.81,128.9,21.3,92.4,28.1,3.401413,91.9
2024Apr,4.94,3.99,128.6,20.1,91.9,27.4,3.357896,94.1
2024Mar,12.04,4.22,128.2,21,90.5,27,3.310618,93.8
2024Feb,6.03,2.56,127.8,27.1,89.7,27.2,3.267999,95.1
2024Jan,1.18,2.49,127.4,31.5,90.2,27.1,3.235106,94.2
2023Dec,3.34,2.34,126.7,24.3,92.8,26.3,3.207165,93.5
2023Nov,3.35,2.65,126.8,18.3,90.3,25,3.182927,95.1
2023Oct,4.63,2.6,126.9,20.4,90.7,24.9,3.156036,95.2
2023Sep,4.81,2.99,127,24.4,90,25.4,3.121317,95.4
2023Aug,4.3,2.93,126.6,23.4,89.5,26.2,3.082875,96
2023Jul,4.78,2.94,126,19.5,91.4,27,3.043837,96.5
2023Jun,7.71,2.88,125.8,17.9,93.6,26.5,3.010562,97.3
2023May,1.52,2.18,125.4,22.8,95.3,25.6,2.989114,99.7
2023Apr,2.44,2.31,125.6,23.8,98.5,24,2.980878,98.1
2023Mar,-1.59,2.62,125.3,27.3,97.6,22.6,2.988403,99.1
2023Feb,6.38,2.63,124.5,23.9,98.3,22.5,3.012247,101.5
2023Jan,6.75,2.66,123.7,27.6,98.5,23.7,3.048797,99.2
2022Dec,2.29,2.52,122.2,35.2,96.4,27.2,3.087943,97.8
2022Nov,2.44,2.16,123.9,42.6,94.3,31.7,3.123698,100
2022Oct,0.79,2.29,123.4,50.9,93,34.9,3.14502,99.2
2022Sep,1.97,2.04,122,54.4,94.3,34.6,3.1527,100.4
2022Aug,1.89,2.21,119.3,52.5,98.4,32.1,3.146259,98.3
2022Jul,3.32,2.21,118.6,53,99.9,29.9,3.128749,99.6
2022Jun,-0.38,2.19,117.9,51.8,105,28,3.111968,99.5
2022May,4.14,2.2,118,55.6,106.6,26.7,3.109887,99.2
2022Apr,2.03,2.01,116.7,62.8,106.1,25.6,3.134532,97.7
2022Mar,6.69,1.53,116.2,65.8,106.7,22.9,3.183238,95.7
2022Feb,3.9,1.52,113.6,42.5,114.9,19.6,3.244478,101.1
2022Jan,2.08,1.49,112.9,45,113.4,18.6,3.304852,100.8
2021Dec,-0.34,1.78,111.5,40.5,112.9,17.3,3.352316,100.9
2021Nov,1.6,1.79,111.3,47.6,115.4,15.1,3.377959,99.7
2021Oct,3.22,1.65,110.6,47.1,117.4,13.5,3.390761,99.3
2021Sep,1.55,1.46,109.9,42.3,118.3,13.1,3.407136,95.7
2021Aug,1.56,1.28,109.7,45,116.9,13.9,3.440977,95
2021Jul,-0.34,1.21,109.5,41.8,116.6,15.9,3.506388,100.3
2021Jun,3.87,1.31,108.9,47.1,115.6,20.2,3.601654,98.3
2021May,0.98,1.39,108.5,38.9,108.7,26.7,3.705229,100.3
2021Apr,1.77,1.58,108.2,37.9,105.2,32.7,3.797471,101
2021Mar,1.61,1.59,107.9,38.8,105.4,37.6,3.858144,100.9
2021Feb,1.64,1.72,107.7,32.4,99.7,43.8,3.879869,99.5
2021Jan,1.67,1.77,107.3,32.4,96.5,50.9,3.8654,101.6
2020Dec,4.37,1.89,105.5,31.9,98.9,39.9,3.838662,101.2
2020Nov,2.38,1.81,105.4,29.2,97.7,42.7,3.823208,101.3
2020Oct,1.83,1.81,105.4,25.3,99.6,43.2,3.829433,100.1
2020Sep,1.77,1.82,105.4,25,98.1,45.1,3.844731,96.4
2020Aug,1.85,1.88,105.5,25.6,96.4,49,3.85305,94
2020Jul,1.79,1.95,105.5,21.4,89.9,53.9,3.834141,94.1
2020Jun,1.55,2.2,106.4,30.1,81.6,58.8,3.770618,92.1
2020May,2.27,2.25,106.1,45.6,72.1,62.9,3.666234,82.5
2020Apr,2.07,2.09,106.1,43.5,66.8,64.5,3.535645,74.2
2020Mar,2.49,2.49,106.2,32.5,91.2,23.7,3.395607,94.4
2020Feb,2.17,2.43,106.4,34.3,103.4,21.1,3.268961,105.1
2020Jan,2.49,2.41,106.3,36,103.5,19.1,3.164047,104.5
2019Dec,2.47,2.31,106.2,33,101.7,18.5,3.079501,101.4
2019Nov,2.35,2.4,106.1,29.6,101.1,19.2,3.007654,103.8
2019Oct,2.5,2.49,105.9,33.5,99.6,21.5,2.94687,103.5
